              x              y            psi
              0              0              0
        0.00625              0              0
         0.0125              0              0
        0.01875              0              0
          0.025              0              0
        0.03125              0              0
         0.0375              0              0
        0.04375              0              0
           0.05              0              0
        0.05625              0              0
         0.0625              0              0
        0.06875              0              0
          0.075              0              0
        0.08125              0              0
         0.0875              0              0
        0.09375              0              0
            0.1              0              0
        0.10625              0              0
         0.1125              0              0
        0.11875              0              0
          0.125              0              0
        0.13125              0              0
         0.1375              0              0
        0.14375              0              0
           0.15              0              0
        0.15625              0              0
         0.1625              0              0
        0.16875              0              0
          0.175              0              0
        0.18125              0              0
         0.1875              0              0
        0.19375              0              0
            0.2              0              0
        0.20625              0              0
         0.2125              0              0
        0.21875              0              0
          0.225              0              0
        0.23125              0              0
         0.2375              0              0
        0.24375              0              0
           0.25              0              0
        0.25625              0              0
         0.2625              0              0
        0.26875              0              0
          0.275              0              0
        0.28125              0              0
         0.2875              0              0
        0.29375              0              0
            0.3              0              0
        0.30625              0              0
         0.3125              0              0
        0.31875              0              0
          0.325              0              0
        0.33125              0              0
         0.3375              0              0
        0.34375              0              0
           0.35              0              0
        0.35625              0              0
         0.3625              0              0
        0.36875              0              0
          0.375              0              0
        0.38125              0              0
         0.3875              0              0
        0.39375              0              0
            0.4              0              0
        0.40625              0              0
         0.4125              0              0
        0.41875              0              0
          0.425              0              0
        0.43125              0              0
         0.4375              0              0
        0.44375              0              0
           0.45              0              0
        0.45625              0              0
         0.4625              0              0
        0.46875              0              0
          0.475              0              0
        0.48125              0              0
         0.4875              0              0
        0.49375              0              0
            0.5              0              0
        0.50625              0              0
         0.5125              0              0
        0.51875              0              0
          0.525              0              0
        0.53125              0              0
         0.5375              0              0
        0.54375              0              0
           0.55              0              0
        0.55625              0              0
         0.5625              0              0
        0.56875              0              0
          0.575              0              0
        0.58125              0              0
         0.5875              0              0
        0.59375              0              0
            0.6              0              0
        0.60625              0              0
         0.6125              0              0
        0.61875              0              0
          0.625              0              0
        0.63125              0              0
         0.6375              0              0
        0.64375              0              0
           0.65              0              0
        0.65625              0              0
         0.6625              0              0
        0.66875              0              0
          0.675              0              0
        0.68125              0              0
         0.6875              0              0
        0.69375              0              0
            0.7              0              0
        0.70625              0              0
         0.7125              0              0
        0.71875              0              0
          0.725              0              0
        0.73125              0              0
         0.7375              0              0
        0.74375              0              0
           0.75              0              0
        0.75625              0              0
         0.7625              0              0
        0.76875              0              0
          0.775              0              0
        0.78125              0              0
         0.7875              0              0
        0.79375              0              0
            0.8              0              0
        0.80625              0              0
         0.8125              0              0
        0.81875              0              0
          0.825              0              0
        0.83125              0              0
         0.8375              0              0
        0.84375              0              0
           0.85              0              0
        0.85625              0              0
         0.8625              0              0
        0.86875              0              0
          0.875              0              0
        0.88125              0              0
         0.8875              0              0
        0.89375              0              0
            0.9              0              0
        0.90625              0              0
         0.9125              0              0
        0.91875              0              0
          0.925              0              0
        0.93125              0              0
         0.9375              0              0
        0.94375              0              0
           0.95              0              0
        0.95625              0              0
         0.9625              0              0
        0.96875              0              0
          0.975              0              0
        0.98125              0              0
         0.9875              0              0
        0.99375              0              0
              1              0              0

              0        0.00625              0
        0.00625        0.00625    -1.0431e-07
         0.0125        0.00625    -5.7262e-08
        0.01875        0.00625      2.423e-07
          0.025        0.00625     7.9628e-07
        0.03125        0.00625     1.5706e-06
         0.0375        0.00625     2.5187e-06
        0.04375        0.00625     3.5903e-06
           0.05        0.00625     4.7353e-06
        0.05625        0.00625     5.9065e-06
         0.0625        0.00625     7.0612e-06
        0.06875        0.00625     8.1627e-06
          0.075        0.00625     9.1817e-06
        0.08125        0.00625     1.0097e-05
         0.0875        0.00625     1.0895e-05
        0.09375        0.00625      1.157e-05
            0.1        0.00625     1.2124e-05
        0.10625        0.00625     1.2565e-05
         0.1125        0.00625     1.2906e-05
        0.11875        0.00625     1.3162e-05
          0.125        0.00625     1.3351e-05
        0.13125        0.00625     1.3493e-05
         0.1375        0.00625     1.3604e-05
        0.14375        0.00625     1.3701e-05
           0.15        0.00625     1.3797e-05
        0.15625        0.00625     1.3902e-05
         0.1625        0.00625     1.4021e-05
        0.16875        0.00625     1.4157e-05
          0.175        0.00625     1.4307e-05
        0.18125        0.00625     1.4466e-05
